,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,Season#,Season,Month,region
51,1/4/2015,1.09,3759282.62,126640.65,2860709.93,7580.38,764351.66,669970.5,94381.16,0,conventional,2015,4,Winter,1,Northeast
51,1/4/2015,1.05,321823.77,4966.76,264351.96,14.68,52490.37,52490.37,0,0,conventional,2015,4,Winter,1,NorthernNewEngland
51,1/4/2015,0.77,5144267.01,2745009.1,1755142.21,73432.89,570682.81,442217.85,128451.37,13.59,conventional,2015,4,Winter,1,SouthCentral
51,1/4/2015,0.98,3204112.16,2296069.27,320373.63,18938.42,568730.84,287820.14,280910.7,0,conventional,2015,4,Winter,1,Southeast
51,1/4/2015,0.89,5794410.58,2275446.87,2582300.65,97024.09,839638.97,688813.01,150819.57,6.39,conventional,2015,4,Winter,1,West
51,1/4/2015,1.35,53494.91,24139.72,8586.46,0,20768.73,20622.28,146.45,0,organic,2015,4,Winter,1,SouthCentral
51,1/4/2015,1.75,27365.89,9307.34,3844.81,615.28,13598.46,13061.1,537.36,0,organic,2015,4,Winter,1,Southeast
51,1/4/2015,1.4,187548.3,70313.71,72942.11,24.3,44268.18,10023.72,34244.46,0,organic,2015,4,Winter,1,West
50,1/11/2015,0.8,5409726.02,2973367.52,1717171.24,88373.78,630813.48,533599.2,97164.07,50.21,conventional,2015,4,Winter,1,SouthCentral
50,1/11/2015,1.18,2433295.61,1667012.92,269027.02,21918.53,475337.14,260164,215173.14,0,conventional,2015,4,Winter,1,Southeast
50,1/11/2015,0.95,5333097.71,2203111.92,2292761.26,127412.09,709812.44,598705.08,111073.82,33.54,conventional,2015,4,Winter,1,West
50,1/11/2015,1.68,37617.95,6636.08,15284.43,4.62,15692.82,13774.1,1918.72,0,organic,2015,4,Winter,1,Plains
50,1/11/2015,1.39,53328.53,27767.97,8596.61,0,16963.95,16873.34,90.61,0,organic,2015,4,Winter,1,SouthCentral
50,1/11/2015,1.83,23690.65,10166.46,4678.19,524.42,8321.58,8164.48,157.1,0,organic,2015,4,Winter,1,Southeast
50,1/11/2015,1.39,223156.55,80139.16,111395.01,63.88,31558.5,9296.76,22261.74,0,organic,2015,4,Winter,1,West
